Preferred Label,Definitions,Parents
muscle cell(CL_0000187),"A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns.",contractile cell(CL_0000183)|animal cell(CL_0000548)|electrically responsive cell(CL_0000393)|somatic cell(CL_0002371)
tendon cell(CL_0000388),An elongated fibrocyte that is part of a tendon. The cytoplasm is stretched between the collagen fibres of the tendon. They have a central cell nucleus with a prominent nucleolus. Tendon cells have a well-developed rough endoplasmic reticulum and they are responsible for synthesis and turnover of tendon fibres and ground substance.,fibrocyte(CL_0000135)|attachment cell(CL_0000386)
osteoclast(CL_0000092),"A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.|Morphology: Highly vesicular; markers: Surface: RANK, cFMS (MCSF receptor); Secreted: cathepsin K and TRAP (tartate resistant acid phosphatase); transcription factors: PU.1, cFOS, MITF, NFkB (p52); role or process: tissue remodelling: bone resorption; lineage: hematopoietic, myeloid.",bone cell(CL_0001035)|myeloid leukocyte(CL_0000766)
hematopoietic stem cell(CL_0000037),"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.|Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",somatic stem cell(CL_0000723)|progenitor cell(CL_0011026)|hematopoietic precursor cell(CL_0008001)
conventional dendritic cell(CL_0000990),"Conventional dendritic cell is a dendritic cell that is CD11c-high.|Originally described in the dendritic cell ontology (DC_CL:0000003)(PMID:19243617) These cells are also CD20-negative, MHCII-positive.",dendritic cell(CL_0000451)
common myeloid progenitor(CL_0000049),"A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages.|This cell type is intended to be compatible with any vertebrate common myeloid progenitor.  For mammalian CMP known to be CD34-positive, please use the term 'common myeloid progenitor, CD34-positive' (CL_0001059).",hematopoietic oligopotent progenitor cell(CL_0002032)
plasmacytoid dendritic cell(CL_0000784),"A dendritic cell type of distinct morphology, localization, and surface marker expression (CD123-positive) from other dendritic cell types and associated with early stage immune responses, particularly the release of physiologically abundant amounts of type I interferons in response to infection.",dendritic cell(CL_0000451)
eosinophil(CL_0000771),"Any of the immature or mature forms of a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads of chromatin, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Eosinophils are CD9-positive, CD191-positive, and CD193-positive.|Eosinophils are also CD14-negative, CD32-positive, CD44-positive, CD48-positive, CD69-positive, CD192-negative, MBP1-positive, MBP2-positive, TLR2-negative, TLR4-negative, and lineage-negative (B220, CD2, CD14, CD19, CD56, CD71, CD117, CD123, CD235a (glycophorin A), and TER119). The cytokines IL-3, IL-5, and GM-CSF are involved in their development and differentiation. Usually considered CD16-negative, CD16 is observed on eosinophilic metamyelocyte.",granulocyte(CL_0000094)
pancreatic ductal cell(CL_0002079),Epithelial cell found in the ducts of the pancreas. This cell type contributes to the high luminal pH.,branched duct epithelial cell(CL_0000069)|epithelial cell of exocrine pancreas(CL_1001433)
perineuronal satellite cell(CL_0000516),A non-neuronal cell that surrounds the neuronal cell bodies of the ganglia.,neuron associated cell (sensu Vertebrata)(CL_0000123)
exocrine cell(CL_0000152),A cell of an exocrine gland; i.e. a gland that discharges its secretion via a duct.,secretory cell(CL_0000151)
pancreatic A cell(CL_0000171),A type of enteocrine cell found in the periphery of the islets of Langerhans that secretes glucagon.,pancreatic endocrine cell(CL_0008024)|epithelial cell of pancreas(CL_0000083)|type A enteroendocrine cell(CL_0002067)
type B pancreatic cell(CL_0000169),"A cell that secretes insulin and is located towards the center of the islets of Langerhans.|Pancreatic beta cells are also reportedly CD284-positive. Upon activation, they upregulate their CD14 expression.",pancreatic endocrine cell(CL_0008024)|enteroendocrine cell(CL_0000164)|epithelial cell of pancreas(CL_0000083)|insulin secreting cell(CL_0000168)
Kupffer cell(CL_0000091),"A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system.|Markers: Mouse: F4/80+, CD11b-low, CD68+, sialoadhesin+, CD163/SRCR+; role or process: immune, antigen-presentation, clearance of senescent erythrocytes, iron metabolism. Kupffer cells are also reportedly C3aR-positive, CD14-low, CD54-positive, CD88-positive, and CD284-positive. They are also capable of producing IL-1, IL-6, TNF-alpha, nitric oxide, PGD2, PGE2, PGF2alpha, and TXA2.",tissue-resident macrophage(CL_0000864)
hepatocyte(CL_0000182),"The main structural component of the liver. They are specialized epithelial cells that are organized into interconnected plates called lobules. Majority of cell population of liver, polygonal in shape, arranged in plates or trabeculae between sinusoids; may have single nucleus or binucleated.|Hepatocytes are reportedly MHC Class I-positive and MHC Class II-positive.",endopolyploid cell(CL_0000417)|epithelial cell(CL_0000066)|somatic cell(CL_0002371)
follicular epithelial cell(CL_0000500),,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
cell(CL_0000000),"A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.|The definition of cell is intended to represent all cells, and thus a cell is defined as a material entity and not an anatomical structure, which implies that it is part of an organism (or the entirety of one).",
non-striated muscle cell(CL_0008000),Any muscle cell in which the fibers are not organised into sarcomeres.,muscle cell(CL_0000187)
visceral muscle cell(CL_0008007),A muscle cell that is part of some visceral muscle,muscle cell(CL_0000187)
endo-epithelial cell(CL_0002076),An epithelial cell derived from endoderm.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
tracheobronchial goblet cell(CL_0019003),Any goblet cell that is part of the tracheobronchial epithelium.,respiratory goblet cell(CL_0002370)|epithelial cell of tracheobronchial tree(CL_0002202)
bronchial epithelial cell(CL_0002328),An epithelial cell of the bronchus.,epithelial cell of tracheobronchial tree(CL_0002202)
lining cell(CL_0000213),A cell within an epithelial cell sheet whose main function is to act as an internal or external covering for a tissue or an organism.,barrier cell(CL_0000215)
meso-epithelial cell(CL_0002078),Epithelial cell derived from mesoderm or mesenchyme.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
epithelial cell of tracheobronchial tree(CL_0002202),An epithelial cell of the tracheobronchial tree.,epithelial cell of lower respiratory tract(CL_0002632)
multi-ciliated epithelial cell(CL_0005012),A ciliated epithelial cell with many cilium.,ciliated epithelial cell(CL_0000067)
respiratory basal cell(CL_0002633),A basal cell in the respiratory tract.,respiratory epithelial cell(CL_0002368)|basal cell(CL_0000646)
tracheal epithelial cell(CL_0000307),"An epithelial cell found in the trachea.|This class is for the vertebrate tracheal structure. For the analagous insect cell type, see 'respiratory tube epithelial cell'",epithelial cell of tracheobronchial tree(CL_0002202)
phagocyte(CL_0000234),Any cell capable of ingesting particulate matter via phagocytosis.,motile cell(CL_0000219)|stuff accumulating cell(CL_0000325)|defensive cell(CL_0000473)
myeloid leukocyte(CL_0000766),"A cell of the monocyte, granulocyte, or mast cell lineage.",leukocyte(CL_0000738)|myeloid cell(CL_0000763)
connective tissue cell(CL_0002320),"A cell of the supporting or framework tissue of the body, arising chiefly from the embryonic mesoderm and including adipose tissue, cartilage, and bone.",animal cell(CL_0000548)|somatic cell(CL_0002371)
lymphocyte of B lineage(CL_0000945),A lymphocyte of B lineage with the commitment to express an immunoglobulin complex.|Types of B lineage lymphocytes include B cells and antibody secreting cells (plasmablasts and plasma cells).  Lymphocytes of B cell lineage can be distinguished from those of T cell lineage by their lack of CD3e (as part of the T cell receptor complex).,lymphocyte(CL_0000542)
chondrocyte(CL_0000138),"Skeletogenic cell that is terminally differentiated, secretes an avascular, GAG-rich matrix, is embedded in cartilage tissue matrix, retains the ability to divide, and develops from a chondroblast cell.",collagen secreting cell(CL_0000667)|glycosaminoglycan secreting cell(CL_0000153)
histamine secreting cell(CL_0002274),A cell type that secretes histamine.,biogenic amine secreting cell(CL_0000457)
mesothelial cell of pleura(CL_1000491),A mesothelial cell that is part of the pleura.,mesothelial cell(CL_0000077)
epithelial cell of lung(CL_0000082),An epithelial cell of the lung.,epithelial cell(CL_0000066)
group 1 innate lymphoid cell(CL_0001067),"An innate lymphoid cell that is capable of producing the type 1 cytokine IFN-gamma, but not Th2 or Th17 cell-associated cytokines.",innate lymphoid cell(CL_0001065)
blood cell(CL_0000081),A cell found predominately in the blood.,hematopoietic cell(CL_0000988)
animal cell(CL_0000548),,eukaryotic cell(CL_0000255)
somatic cell(CL_0002371),A cell of an organism that does not pass on its genetic material to the organism's offspring (i.e. a non-germ line cell).,native cell(CL_0000003)
surfactant secreting cell(CL_0000157),A cell that specializes in secretion of surfactant in the alveoli of the lung.,secretory cell(CL_0000151)
lung secretory cell(CL_1000272),,secretory cell(CL_0000151)
epithelial cell of alveolus of lung(CL_0010003),An epithelial cell that is part_of a alveolus of lung.|May be merged with pneumocyte in future,epithelial cell of lung(CL_0000082)
angioblastic mesenchymal cell(CL_0000566),"A mesenchymal stem cell capable of developing into blood vessel endothelium.|These cells are reportedly CD31-positive, CD34-positive, CD144-positive, CD309-positive, and TAL1-positive.",progenitor cell(CL_0011026)|mesenchymal stem cell(CL_0000134)
mural cell(CL_0008034),Mural cells are pericytes and the vascular smooth muscle cells (vSMCs) of the microcirculation.,somatic cell(CL_0002371)
contractile cell(CL_0000183),A cell whose primary function is to shorten.,native cell(CL_0000003)
supportive cell(CL_0000630),A cell whose primary function is to support other cell types.,native cell(CL_0000003)
columnar/cuboidal epithelial cell(CL_0000075),A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
antibody secreting cell(CL_0000946),A lymphocyte of B lineage that is devoted to secreting large amounts of immunoglobulin.,lymphocyte of B lineage(CL_0000945)
hematopoietic cell(CL_0000988),A cell of a hematopoietic lineage.,animal cell(CL_0000548)|somatic cell(CL_0002371)
mononuclear cell(CL_0000842),A leukocyte with a single non-segmented nucleus in the mature form.,single nucleate cell(CL_0000226)|leukocyte(CL_0000738)
squamous epithelial cell(CL_0000076),,epithelial cell(CL_0000066)
bone marrow hematopoietic cell(CL_1001610),"Hematopoietic cells resident in the bone marrow. Include: hematopoietic stem cells (lymphoid stem cells and myeloid stem cells) and the precursor cells for thrombocytes, erythrocytes, basophils, neutrophils, eosinophils, monocytes and lymphocytes.",bone marrow cell(CL_0002092)|hematopoietic cell(CL_0000988)
cardiac muscle cell(CL_0000746),"Cardiac muscle cells are striated muscle cells that are responsible for heart contraction. In mammals, the contractile fiber resembles those of skeletal muscle but are only one third as large in diameter, are richer in sarcoplasm, and contain centrally located instead of peripheral nuclei.|This class encompasses the muscle cells responsible for heart* contraction in both vertebrates and arthropods.  The ultrastucture of a wide range of arthropod heart cells has been examined including spiders, horseshoe crabs, crustaceans (see Sherman, 1973 and refs therein) and insects (see Lehmacher et al (2012) and refs therein).  According to these refs, the cells participating in heart contraction in all cases are transversely striated.  Insects hearts additionally contain ostial cells, also transversely striated muscle cells, but which do not participate in heart contraction.",striated muscle cell(CL_0000737)|cardiocyte(CL_0002494)
cardiocyte(CL_0002494),"A cell located in the heart, including both muscle and non muscle cells.|From Onard of the FMA: Cardiac muscle cell or cardiac myocyte is a striated muscle cell. Cardiocyte on the other hand is any cell in the heart which includes cells other than muscle cells (e.g. endothelial cell of endocardium). Unless there is a consensus among anatomists that cardiocytes refer only to muscle cells, we will treat them as a general class of cells in the heart.",animal cell(CL_0000548)|somatic cell(CL_0002371)
oxygen accumulating cell(CL_0000329),,native cell(CL_0000003)
macroglial cell(CL_0000126),"A neuroglial cell of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together.",glial cell(CL_0000125)
neurecto-epithelial cell(CL_0000710),"Epithelial cells derived from neural plate and neural crest.|The term ""neuroepithelial cell"" is used to describe both this cell type and sensory epithelial cell (CL:0000098).",ecto-epithelial cell(CL_0002077)|columnar/cuboidal epithelial cell(CL_0000075)
ciliated epithelial cell(CL_0000067),An epithelial cell that has a cilia.,epithelial cell(CL_0000066)|ciliated cell(CL_0000064)
secretory cell(CL_0000151),A cell that specializes in controlled release of one or more substances.,native cell(CL_0000003)
neuron(CL_0000540),"The basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system.|These cells are also reportedly CD4-negative and CD200-positive. They are also capable of producing CD40L and IFN-gamma.",neural cell(CL_0002319)|electrically responsive cell(CL_0000393)|electrically signaling cell(CL_0000404)
CNS neuron (sensu Vertebrata)(CL_0000117),,central nervous system neuron(CL_2000029)
glial cell(CL_0000125),"A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons.",neuron associated cell(CL_0000095)
central nervous system macrophage(CL_0000878),A tissue-resident macrophage found in the central nervous system.,neural cell(CL_0002319)|tissue-resident macrophage(CL_0000864)
non-terminally differentiated cell(CL_0000055),A precursor cell with a limited number of potential fates.|define using PATO mulit-potent or oligopotent?,precursor cell(CL_0011115)
neuron associated cell (sensu Vertebrata)(CL_0000123),,neuron associated cell(CL_0000095)
precursor cell(CL_0011115),"A cell that, by division or terminal differentiation, can give rise to other cell types.|Work is needed on GO 'cell differentiation' before it is clear whether the equivalent class definition 'native cell' that capable_of some 'cell differentiation' works. Also, may want to consider merging this with non-terminally differentiated cell.",native cell(CL_0000003)
efferent neuron(CL_0000527),A neuron which sends impulses peripherally to activate muscles or secretory cells.,neuron(CL_0000540)
cerebellar neuron(CL_1001611),Neuron of the cerebellum.,central nervous system neuron(CL_2000029)
mature alpha-beta T cell(CL_0000791),A alpha-beta T cell that has a mature phenotype.,alpha-beta T cell(CL_0000789)|mature T cell(CL_0002419)
melanocyte(CL_0000148),"A pigment cell derived from the neural crest. Contains melanin-filled pigment granules, which gives a brown to black appearance.",pigment cell(CL_0000147)|somatic cell(CL_0002371)
visual pigment cell(CL_0000149),,pigment cell(CL_0000147)
retinal cell(CL_0009004),"Any cell in the retina, the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates.",neural cell(CL_0002319)
interneuron(CL_0000099),Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions.,neuron(CL_0000540)
visual system neuron(CL_0008028),,neuron(CL_0000540)
bipolar neuron(CL_0000103),"A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body.",interneuron(CL_0000099)
glutamatergic neuron(CL_0000679),,secretory cell(CL_0000151)|neuron(CL_0000540)
camera-type eye photoreceptor cell(CL_0010009),,eye photoreceptor cell(CL_0000287)
radial glial cell(CL_0000681),"A cell present in the developing CNS. Functions as both a precursor cell and as a scaffold to support neuronal migration.|Unlike that of mammals, the brain of adult teleost fish exhibits an intense and widespread neurogenic activity as a result of the persistence of
radial glial cells acting as neural progenitors throughout life.",glial cell(CL_0000125)
autonomic neuron(CL_0000107),A neruon whose cell body is within an autonomic ganglion.,peripheral nervous system neuron(CL_2000032)
germ cell(CL_0000586),The reproductive cell in multicellular organisms.,germ line cell(CL_0000039)
epithelial cell of prostate(CL_0002231),An epithelial cell of the prostate.,endo-epithelial cell(CL_0002076)
keratinizing barrier epithelial cell(CL_0000237),,ecto-epithelial cell(CL_0002077)|keratin accumulating cell(CL_0000311)|stratified squamous epithelial cell(CL_0000240)
epidermal cell(CL_0000362),An epithelial cell of the integument (the outer layer of an organism).,general ecto-epithelial cell(CL_0002159)
glandular epithelial cell(CL_0000150),A specialized epithelial cell that is capable of synthesizing and secreting certain biomolecules.,epithelial cell(CL_0000066)|secretory cell(CL_0000151)|somatic cell(CL_0002371)
protein secreting cell(CL_0000154),,secretory cell(CL_0000151)
androgen binding protein secreting cell(CL_0000511),A peptide hormone secreting cell that secretes androgen binding protein.,protein secreting cell(CL_0000154)
seminiferous tubule epithelial cell(CL_0002625),A cell of the seminiferous tubule epithelium.,mesothelial cell(CL_0000077)|duct epithelial cell(CL_0000068)
epithelial cell of nephron(CL_1000449),An epithelial cell that is part of the nephron.,kidney epithelial cell(CL_0002518)
gut absorptive cell(CL_0000677),"Cell of the intestinal epithelium with a brush border made up of many parallel packed microvilli; associated with absorption, particularly of macromolecules.",absorptive cell(CL_0000212)
brush border epithelial cell(CL_0000239),,columnar/cuboidal epithelial cell(CL_0000075)|ciliated epithelial cell(CL_0000067)
intestinal epithelial cell(CL_0002563),An epithelial cell of the intestine.,epithelial cell of alimentary canal(CL_0002251)
leukocyte(CL_0000738),"An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.",nucleate cell(CL_0002242)|motile cell(CL_0000219)|hematopoietic cell(CL_0000988)
neuron neural crest derived(CL_0000029),,neuron(CL_0000540)
fat cell(CL_0000136),A fat-storing cell found mostly in the abdominal cavity and subcutaneous tissue of mammals. Fat is usually stored in the form of triglycerides.,stuff accumulating cell(CL_0000325)|connective tissue cell(CL_0002320)
lysozyme secreting cell(CL_0000323),,protein secreting cell(CL_0000154)
transitional epithelial cell(CL_0000244),A cell characteristically found lining hollow organs that are subject to great mechanical change due to contraction and distention; originally thought to represent a transition between stratified squamous and columnar epithelium.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
epithelial cell of urethra(CL_1000296),An epithelial cell that is part of the urethra.,urethra cell(CL_1001320)|epithelial cell(CL_0000066)|somatic cell(CL_0002371)
nephron tubule epithelial cell(CL_1000494),An epithelial cell that is part of a nephron tubule.|This needs to be further defined as a juxtamedullary nephron. Will request the juxtamedullary nephron tubule class from UBERON.,kidney tubule cell(CL_1000507)
epithelial cell of proximal tubule(CL_0002306),An epithelial cell of the proximal tubule of the kidney.,nephron tubule epithelial cell(CL_1000494)|meso-epithelial cell(CL_0002078)|brush border epithelial cell(CL_0000239)|kidney cortex tubule cell(CL_1000615)
epithelial cell of distal tubule(CL_0002305),"An epithelial cell of the distal convoluted tubule of the kidney that helps regulate systemic levels of potassium, sodium, calcium, and pH.",nephron tubule epithelial cell(CL_1000494)|meso-epithelial cell(CL_0002078)|kidney cortex tubule cell(CL_1000615)
hemocyte (sensu Arthropoda)(CL_0000387),,phagocyte (sensu Nematoda and Protostomia)(CL_0000519)
myeloid lineage restricted progenitor cell(CL_0000839),"A progenitor cell restricted to the myeloid lineage.|Note that this is a class of cell types, not an identified single cell type.",progenitor cell(CL_0011026)|hematopoietic lineage restricted progenitor cell(CL_0002031)
chief cell of parathyroid gland(CL_0000446),"An epithelial cell of the parathyroid gland that is arranged in wide, irregular interconnecting columns; responsible for the synthesis and secretion of parathyroid hormone.",peptide hormone secreting cell(CL_0000167)|epithelial cell of parathyroid gland(CL_0002260)
glandular cell of stomach(CL_0002659),A glandular epithelial cell that is part of the stomach.,epithelial cell of stomach(CL_0002178)|glandular epithelial cell(CL_0000150)
acid secreting cell(CL_0000161),,secretory cell(CL_0000151)
type D enteroendocrine cell(CL_0000502),"A cell found throughout the gastrointestinal tract and in the pancreas. They secrete somatostatin in both an endocrine and paracrine manner. Somatostatin inhibits gastrin, cholecystokinin, insulin, glucagon, pancreatic enzymes, and gastric hydrochloric acid. A variety of substances which inhibit gastric acid secretion (vasoactive intestinal peptide, calcitonin gene-related peptide, cholecystokinin, beta-adrenergic agonists, and gastric inhibitory peptide) are thought to act by releasing somatostatin.",enteroendocrine cell(CL_0000164)|somatostatin secreting cell(CL_0000172)
amine precursor uptake and decarboxylation cell(CL_0000568),"A cell that originates in the neural crest, that has certain cytochemical and ultrastructural characteristics and is found scattered throughout the body; types include melanocytes, the cells of the chromaffin system, and cells in the hypothalamus, hypophysis, thyroid, parathyroids, lungs, gastrointestinal tract, and pancreas. This cell type concentrates the amino acid precursors of certain amines and decarboxylate them, forming amines that function as regulators and neurotransmitters. This cell type produces substances such as epinephrine, norepinephrine, dopamine, serotonin, enkephalin, somatostatin, neurotensin, and substance P, the actions of which may affect contiguous cells, nearby groups of cells, or distant cells, thus functioning as local or systemic hormones. The name is an acronym for amine precursor uptake and decarboxylation cell.",neuroendocrine cell(CL_0000165)
electrically responsive cell(CL_0000393),A cell whose function is determined by its response to an electric signal.,electrically active cell(CL_0000211)
fibrocyte(CL_0000135),"An inactive fibroblast; cytoplasm is sparse, endoplasmic reticulum is scanty with flattened nucleus. Term used by some histologists; when fibroblasts become relatively inactive in fiber formation. However, this cell has the potential for fibrogenesis in quiescent connective tissue of the adult, as well as during development, other histologists prefer to use the term fibroblast in all circumstances. These cells represent ~0.5% of peripheral blood leukocytes.|Cultured human fibrocytes are MHCI-positive, MHCII-positive, CD1a-negative, CD3-negative, CD4-negative, CD8-negative, CD10-negative, CD11b-positive, CD13-positive, CD14-negative, CD16-negative, CD18-positive, CD19-negative, CD25-negative, CD29-positive, CD32-positive, CD33-negative, CD34-positive, CD38-negative, CD40-positive, CD44-negative, CD45RO-positive, CD49a-positive, CD49b-positive, CD49c-negative, CD49d-negative, CD49e-positive, CD49f-negative, CD56-negative, CD58-positive, CD61-positive, CD64-positive, CD70-negative, CD71-positive, CD80-positive, CD83-negative, CD86-positive, CD103-negative, CD105-positive, CD181-positive, CD182-negative, CD183-positive, CD184-positive, CD185-negative, CD186-negative, CD191-positive, CD192-negative, CD193-positive, CD194-positive, CD195-positive, CD196-negative, CD197-positive, CD199-positive, desmin-negative, F4/80-positive, Gr1-positive, LSP-1-positive, MHCI-positive, MHCII-positive, alpha-SMA-negative, TCRab-negative, TCRgd-negative, and vimentin-positive. Fibrocytes are also capable of secreting angiogenin, bFGF, CCL2, CCL3, CCL4, CCL8, CXCL1, type I collagen, type III collagen, CTGF, fibronectin, GM-CSF, IL-1a, IL-6, IL-8, IL-10, M-CSF, MMP-9, PDGF-A, TGF-alpha, TGF-beta1, TNF-alpha, and VEGF-A.",stromal cell(CL_0000499)
attachment cell(CL_0000386),,supportive cell(CL_0000630)
bone cell(CL_0001035),A connective tissue cell found in bone.,animal cell(CL_0000548)
somatic stem cell(CL_0000723),A stem cell that can give rise to cell types of the body other than those of the germ-line.,stem cell(CL_0000034)|somatic cell(CL_0002371)
hematopoietic precursor cell(CL_0008001),Any hematopoietic cell that is a precursor of some other hematopoietic cell type.,hematopoietic cell(CL_0000988)
hematopoietic oligopotent progenitor cell(CL_0002032),"A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities.|This cell type is intended to be compatible with any vertebrate hematopoietic oligopotent progenitor cell.  For mammalian hematopoietic oligopotent progenitor cells known to be lineage-negative, please use the term 'hematopoietic oligopotent progenitor cell' (CL_0001060).",hematopoietic precursor cell(CL_0008001)
branched duct epithelial cell(CL_0000069),,duct epithelial cell(CL_0000068)
epithelial cell of exocrine pancreas(CL_1001433),An epithelial cell of the exocrine pancreas.,epithelial cell of pancreas(CL_0000083)
pancreatic endocrine cell(CL_0008024),An endocrine cell that is part of the pancreas.,endocrine cell(CL_0000163)
epithelial cell of pancreas(CL_0000083),An epithelial cell of the pancreas.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
type A enteroendocrine cell(CL_0002067),An enteroendocrine cell that produces glucagon.,enteroendocrine cell(CL_0000164)|glucagon secreting cell(CL_0000170)
insulin secreting cell(CL_0000168),,peptide hormone secreting cell(CL_0000167)|protein secreting cell(CL_0000154)
tissue-resident macrophage(CL_0000864),"A macrophage constitutively resident in a particular tissue under non-inflammatory conditions, and capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.",macrophage(CL_0000235)
endopolyploid cell(CL_0000417),,polyploid cell(CL_0000412)
respiratory goblet cell(CL_0002370),"A simple columnar epithelial cell that secretes mucin. Rough endoplasmic reticulum, mitochondria, the nucleus, and other organelles are concentrated in the basal portion. The apical plasma membrane projects microvilli to increase surface area for secretion.",goblet cell(CL_0000160)
barrier cell(CL_0000215),A cell whose primary function is to prevent the transport of stuff across compartments.,native cell(CL_0000003)
epithelial cell of lower respiratory tract(CL_0002632),,respiratory epithelial cell(CL_0002368)
basal cell(CL_0000646),Undifferentiated; mitotic stem cell for other epithelial cell types; rounded or elliptical with little cytoplasm and few organelles; contain cytokeratin intermediate filament.,epithelial fate stem cell(CL_0000036)
motile cell(CL_0000219),A cell that moves by its own activities.,native cell(CL_0000003)
stuff accumulating cell(CL_0000325),A cell that is specialised to accumulate a particular substance(s).,native cell(CL_0000003)
defensive cell(CL_0000473),A cell whose primary function is to protect the organism.,native cell(CL_0000003)
collagen secreting cell(CL_0000667),An extracellular matrix secreting cell that secretes collagen.,extracellular matrix secreting cell(CL_0000327)
glycosaminoglycan secreting cell(CL_0000153),A cell that secretes glycosaminoglycans.,extracellular matrix secreting cell(CL_0000327)|carbohydrate secreting cell(CL_0000447)
biogenic amine secreting cell(CL_0000457),,secretory cell(CL_0000151)
innate lymphoid cell(CL_0001065),"A lymphocyte that lacks characteristic T cell, B cell, myeloid cell, and dendritic cell markers, that functions as part of the innate immune response to produce cytokines and other effector responses.",lymphocyte(CL_0000542)
eukaryotic cell(CL_0000255),,native cell(CL_0000003)
mesenchymal stem cell(CL_0000134),"A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. In humans, this cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.|Many but not all mesenchymal cells derive from the mesoderm. MSCs are reportedly CD3-negative, CD4-negative, CD5-negative, CD8-negative, CD11a-negative, CD11b-negative, CD14-negative, CD19-negative, CD29-positive, CD31-negative, CD34-negative, CD38-negative, CD40-negative, CD44-positive, CD45-negative, CD49-positive, CD54-positive, CD66b-negative, CD79a-negative, CD80-negative, CD102-positive, CD106-positive, CD117-positive, CD121a-positive, CD121b-positive, CD123-positive, CD124-positive, CD133-negative, CD146-positive, CD166-positive, CD271-positive, B220-negative, Gr1-negative, MHCI-positive, MHCII-negative, SSEA4-negative, sca1-positive, Ter119-negative, and glycophorin A-negative. Cultured MSCs are capable of producing stem cell factor, IL7, IL8, IL11, TGF-beta, cofilin, galectin-1, laminin-receptor 1, cyclophilin A, and MMP-2.",multi fate stem cell(CL_0000048)|connective tissue cell(CL_0002320)
single nucleate cell(CL_0000226),A cell with a single nucleus.,nucleate cell(CL_0002242)
bone marrow cell(CL_0002092),"A cell found in the bone marrow. This can include fibroblasts, macrophages, adipocytes, osteoblasts, osteoclasts, endothelial cells and hematopoietic cells.|MH consider whether bone marrow cells are bone cells in the structural sense vs. being part of bone organ sense.",bone cell(CL_0001035)
striated muscle cell(CL_0000737),Muscle cell which has as its direct parts myofilaments organized into sarcomeres.,muscle cell(CL_0000187)
ecto-epithelial cell(CL_0002077),An epithelial cell derived from ectoderm.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
ciliated cell(CL_0000064),A cell that has a filiform extrusion of the cell surface.,native cell(CL_0000003)
